# version: 20210217						
# author: hhliow (github.com/hhliow)						
# license: cc by-nc-sa 4.0						
index	廣韻小韻	middle_chinese	Baxter_transcription	中州音(IPA)	中州音	推導國音
279	酺	遇開一平模並	bu	pʱu˩	꜁ㄆㄨ	꜁ㄆㄨ
280	胡	遇開一平模匣	hu	ɦu˩	꜁ㄏㄨ	꜁ㄏㄨ
281	孤	遇開一平模見	ku	ku	ㄍㄨ	ㄍㄨ
282	徒	遇開一平模定	du	tʱu˩	꜁ㄊㄨ	꜁ㄊㄨ
283	奴	遇開一平模泥	nu	nu˩	꜁ㄋㄨ	꜁ㄋㄨ
284	呼	遇開一平模曉	xu	hu	ㄏㄨ	ㄏㄨ
285	吾	遇開一平模疑	ngu	ŋu˩	꜁ㄫㄨ	꜁ㄨ
286	租	遇開一平模精	tsu	tsu	ㄗㄨ	ㄗㄨ
287	盧	遇開一平模來	lu	lu˩	꜁ㄌㄨ	꜁ㄌㄨ
288	蘇	遇開一平模心	su	su	ㄙㄨ	ㄙㄨ
289	徂	遇開一平模從	dzu	tsʱu˩	꜁ㄘㄨ	꜁ㄘㄨ
290	烏	遇開一平模影	’u	ʔu	ㄨ	ㄨ
291	逋	遇開一平模幫	pu	pu	ㄅㄨ	ㄅㄨ
292	枯	遇開一平模溪	khu	kʰu	ㄎㄨ	ㄎㄨ
293	麤	遇開一平模清	tshu	tsʰu	ㄘㄨ	ㄘㄨ
294	㻌	遇開一平模透	thu	tʰu	ㄊㄨ	ㄊㄨ
295	都	遇開一平模端	tu	tu	ㄉㄨ	ㄉㄨ
296	𥠵	遇開一平模滂	phu	pʰu	ㄆㄨ	ㄆㄨ
297	齊	蟹開四平齊從	dzej	tsʱiɪi˩	꜁ㄘㄧ	꜁ㄘㄧ
298	黎	蟹開四平齊來	lej	liɪi˩	꜁ㄌㄧ	꜁ㄌㄧ
299	妻	蟹開四平齊清	tshej	tsʰiɪi	ㄘㄧ	ㄘㄧ
300	低	蟹開四平齊端	tej	tiɪi	ㄉㄧ	ㄉㄧ
301	嗁	蟹開四平齊定	dej	tʱiɪi˩	꜁ㄊㄧ	꜁ㄊㄧ
302	豍	蟹開四平齊幫	pej	piɪi	ㄅㄧ	ㄅㄧ
303	雞	蟹開四平齊見	kej	kiɪi	ㄐㄧ	ㄐㄧ
304	奚	蟹開四平齊匣	hej	ɦiɪi˩	꜁ㄒㄧ	꜁ㄒㄧ
305	鷖	蟹開四平齊影	’ej	ʔiɪi	ㄧ	ㄧ
306	倪	蟹開四平齊疑	ngej	ŋiɪi˩/ji˩	꜁ㄫㄧ/꜁ㄧ	꜁ㄬㄧ
307	醯	蟹開四平齊曉	xej	hiɪi	ㄒㄧ	ㄒㄧ
308	西	蟹開四平齊心	sej	siɪi	ㄙㄧ	ㄙㄧ
309	梯	蟹開四平齊透	thej	tʰiɪi	ㄊㄧ	ㄊㄧ
310	鼙	蟹開四平齊並	bej	pʱiɪi˩	꜁ㄆㄧ	꜁ㄆㄧ
311	磇	蟹開四平齊滂	phej	pʰiɪi	ㄆㄧ	ㄆㄧ
312	齎	蟹開四平齊精	tsej	tsiɪi	ㄗㄧ	ㄗㄧ
313	迷	蟹開四平齊明	mej	miɪi˩	꜁ㄇㄧ	꜁ㄇㄧ
314	泥	蟹開四平齊泥	nej	niɪi˩	꜁ㄋㄧ	꜁ㄋㄧ
315	谿	蟹開四平齊溪	khej	kʰiɪi	ㄑㄧ	ㄑㄧ
316	圭	蟹合四平齊見	kwej	kui	ㄍㄨㄟ	ㄍㄨㄟ
317	睽	蟹合四平齊溪	khwej	kʰui	ㄎㄨㄟ	ㄎㄨㄟ
318	攜	蟹合四平齊匣	hwej	ɦiɪi˩(!)	꜁ㄒㄧ	꜁ㄒㄧ
319	臡	蟹開四平齊日	nyej	ʒiɪi˩	꜁ㄖㄧ	꜁ㄖ
320	栘	蟹開四平齊常	dzyej	ʃʱiɪi˩	꜁ㄕㄧ	꜁ㄕ
321	烓	蟹合四平齊影	’wej	ʔui	ㄨㄟ	ㄨㄟ
322	睳	蟹合四平齊曉	xwej	hui	ㄏㄨㄟ	ㄏㄨㄟ
323	佳	蟹開二平佳見	kea	kiai	ㄐㄧㄞ	ㄐㄧㄞ
324	㥟	蟹開二平佳匣	hea	ɦiai˩	꜁ㄒㄧㄞ	꜁ㄒㄧㄞ
325	牌	蟹開二平佳並	bea	pʱai˩	꜁ㄆㄞ	꜁ㄆㄞ
326	媧	蟹合二平佳見	kwea	kwa	ㄍㄨㄚ	ㄍㄨㄚ
327	蛙	蟹合二平佳影	’wea	ʔwa	ㄨㄚ	ㄨㄚ
328	咼	蟹合二平佳溪	khwea	kʰwa	ㄎㄨㄚ	ㄎㄨㄚ
329	柴	蟹開二平佳崇	dzrea	ʈʂʱai˩	꜁ㄔㄞ	꜁ㄔㄞ
330	釵	蟹開二平佳初	tsrhea	ʈʂʰai	ㄔㄞ	ㄔㄞ
331	竵	蟹合二平佳曉	xwea	hwa	ㄏㄨㄚ	ㄏㄨㄚ
332	䍲	蟹開二平佳孃	nrea	nai˩	꜁ㄋㄞ	꜁ㄋㄞ
333	崖	蟹開二平佳疑	ngea	(ŋ)iai˩	꜁(ㄫ)ㄧㄞ	꜁ㄧㄞ
334	娃	蟹開二平佳影	’ea	ʔwa(!)	ㄨㄚ	ㄨㄚ
335	崽	蟹開二平佳生	srea	ʂai	ㄕㄞ	ㄕㄞ
336	㗨	蟹開二平佳曉	xea	hiai	ㄒㄧㄞ	ㄒㄧㄞ
337	扠	蟹開二平佳徹	trhea	ʈʂʰai	ㄔㄞ	ㄔㄞ
338	䁲	蟹開二平佳明	mea	mai˩	꜁ㄇㄞ	꜁ㄇㄞ
339	鼃	蟹合二平佳匣	hwea	ɦwa˩	꜁ㄏㄨㄚ	꜁ㄏㄨㄚ
340	皆	蟹開二平皆見	keaj	kiai	ㄐㄧㄞ	ㄐㄧㄞ
341	𢰇	蟹開二平皆影	’eaj	ʔiai	ㄧㄞ	ㄧㄞ
342	諧	蟹開二平皆匣	heaj	ɦiai˩	꜁ㄒㄧㄞ	꜁ㄒㄧㄞ
343	排	蟹開二平皆並	beaj	pʱai˩	꜁ㄆㄞ	꜁ㄆㄞ
344	乖	蟹合二平皆見	kweaj	kwai	ㄍㄨㄞ	ㄍㄨㄞ
345	懷	蟹合二平皆匣	hweaj	ɦwai˩	꜁ㄏㄨㄞ	꜁ㄏㄨㄞ
346	匯	蟹合二平皆溪	khweaj	kʰwai	ㄎㄨㄞ	ㄎㄨㄞ
347	豺	蟹開二平皆崇	dzreaj	ʈʂʱai˩	꜁ㄔㄞ	꜁ㄔㄞ
348	差	蟹開二平皆初	tsrheaj	ʈʂʰai	ㄔㄞ	ㄔㄞ
349	虺	蟹合二平皆曉	xweaj	hwai	ㄏㄨㄞ	ㄏㄨㄞ
350	尵	蟹合二平皆澄	drweaj	ʈʂʱwai˩	꜁ㄔㄨㄞ	꜁ㄔㄨㄞ
351	埋	蟹開二平皆明	meaj	mai˩	꜁ㄇㄞ	꜁ㄇㄞ
352	齋	蟹開二平皆莊	tsreaj	ʈʂai	ㄓㄞ	ㄓㄞ
353	崴	蟹合二平皆影	’weaj	ʔwai	ㄨㄞ	ㄨㄞ
354	𪘨	蟹開二平皆知	treaj	ʈʂai	ㄓㄞ	ㄓㄞ
355	唻	蟹開二平皆來	leaj	lai˩	꜁ㄌㄞ	꜁ㄌㄞ
356	揩	蟹開二平皆溪	kheaj	kʰiai	ㄑㄧㄞ	ㄑㄧㄞ
357	摨	蟹開二平皆孃	nreaj	nai˩	꜁ㄋㄞ	꜁ㄋㄞ
358	崽	蟹開二平皆生	sreaj	ʂai	ㄕㄞ	ㄕㄞ
359	𩂢	蟹開二平皆疑	ngeaj	(ŋ)iai˩	꜁(ㄫ)ㄧㄞ	꜁ㄧㄞ
360	搋	蟹開二平皆徹	trheaj	ʈʂʰai	ㄔㄞ	ㄔㄞ
361	𢓬	蟹開二平皆曉	xeaj	hiai	ㄒㄧㄞ	ㄒㄧㄞ
362	䐯	蟹合二平皆來	lweaj	lwai˩	꜁ㄌㄨㄞ	꜁ㄌㄨㄞ
363	膗	蟹合二平皆崇	dzrweaj	ʈʂʱwai˩	꜁ㄔㄨㄞ	꜁ㄔㄨㄞ
364	灰	蟹合一平灰曉	xwoj	hui	ㄏㄨㄟ	ㄏㄨㄟ
365	恢	蟹合一平灰溪	khwoj	kʰui	ㄎㄨㄟ	ㄎㄨㄟ
366	隈	蟹合一平灰影	’woj	ʔui	ㄨㄟ	ㄨㄟ
367	回	蟹合一平灰匣	hwoj	ɦui˩	꜁ㄏㄨㄟ	꜁ㄏㄨㄟ
368	枚	蟹合一平灰明	mwoj	mui˩	꜁ㄇㄨㄟ	꜁ㄇㄟ
369	傀	蟹合一平灰見	kwoj	kui	ㄍㄨㄟ	ㄍㄨㄟ
370	雷	蟹合一平灰來	lwoj	lui˩	꜁ㄌㄨㄟ	꜁ㄌㄨㄟ
371	穨	蟹合一平灰定	dwoj	tʱui˩	꜁ㄊㄨㄟ	꜁ㄊㄨㄟ
372	崔	蟹合一平灰清	tshwoj	tsʰui	ㄘㄨㄟ	ㄘㄨㄟ
373	磓	蟹合一平灰端	twoj	tui	ㄉㄨㄟ	ㄉㄨㄟ
374	𤗯	蟹合一平灰心	swoj	sui	ㄙㄨㄟ	ㄙㄨㄟ
375	摧	蟹合一平灰從	dzwoj	tsʱui˩	꜁ㄘㄨㄟ	꜁ㄘㄨㄟ
376	裴	蟹合一平灰並	bwoj	pʱui˩	꜁ㄆㄨㄟ	꜁ㄆㄟ
377	桮	蟹合一平灰幫	pwoj	pui	ㄅㄨㄟ	ㄅㄟ
378	肧	蟹合一平灰滂	phwoj	pʰui	ㄆㄨㄟ	ㄆㄟ
379	鮠	蟹合一平灰疑	ngwoj	ŋui˩	꜁ㄫㄨㄟ	꜁ㄨㄟ
380	𨌴	蟹合一平灰透	thwoj	tʰui	ㄊㄨㄟ	ㄊㄨㄟ
381	𢅼	蟹合一平灰泥	nwoj	nui˩	꜁ㄋㄨㄟ	꜁ㄋㄨㄟ
382	嗺	蟹合一平灰精	tswoj	tsui	ㄗㄨㄟ	ㄗㄨㄟ
383	咍	蟹開一平咍曉	xoj	hai	ㄏㄞ	ㄏㄞ
384	開	蟹開一平咍溪	khoj	kʰai	ㄎㄞ	ㄎㄞ
385	哀	蟹開一平咍影	’oj	ʔai	ㄞ	ㄞ
386	臺	蟹開一平咍定	doj	tʱai˩	꜁ㄊㄞ	꜁ㄊㄞ
387	該	蟹開一平咍見	koj	kai	ㄍㄞ	ㄍㄞ
388	裁	蟹開一平咍從	dzoj	tsʱai˩	꜁ㄘㄞ	꜁ㄘㄞ
389	來	蟹開一平咍來	loj	lai˩	꜁ㄌㄞ	꜁ㄌㄞ
390	烖	蟹開一平咍精	tsoj	tsai	ㄗㄞ	ㄗㄞ
391	猜	蟹開一平咍清	tshoj	tsʰai	ㄘㄞ	ㄘㄞ
392	𤗏	蟹開一平咍並	boj	pʱai˩	꜁ㄆㄞ	꜁ㄆㄞ
393	胎	蟹開一平咍透	thoj	tʰai	ㄊㄞ	ㄊㄞ
394	孩	蟹開一平咍匣	hoj	ɦai˩	꜁ㄏㄞ	꜁ㄏㄞ
395	鰓	蟹開一平咍心	soj	sai	ㄙㄞ	ㄙㄞ
396	皚	蟹開一平咍疑	ngoj	ŋai˩	꜁ㄫㄞ	꜁ㄫㄞ
397	能	蟹開一平咍泥	noj	nai˩	꜁ㄋㄞ	꜁ㄋㄞ
398	𪒴	蟹開一平咍端	toj	tai	ㄉㄞ	ㄉㄞ
399	㹗	蟹開一平咍昌	tsyhoj	tʃʰai	ㄔㄞ	ㄔㄞ
400	𡜊	蟹開一平咍滂	phoj	pʰai	ㄆㄞ	ㄆㄞ
401	眞	臻開三平眞章	tsyin	tʃin	ㄓㄧㄣ	ㄓㄣ
402	𤣆	臻開三平眞徹	trhin	tʃʰin	ㄔㄧㄣ	ㄔㄣ
403	因	臻開三平眞影A	’jin	ʔin	ㄧㄣ	ㄧㄣ
404	新	臻開三平眞心	sin	sin	ㄙㄧㄣ	ㄙㄧㄣ
405	辰	臻開三平眞常	dzyin	tʃʱin˩	꜁ㄔㄧㄣ	꜁ㄔㄣ
406	仁	臻開三平眞日	nyin	ʒin˩	꜁ㄖㄧㄣ	꜁ㄖㄣ
407	神	臻開三平眞船	zyin	ʃʱin˩	꜁ㄕㄧㄣ	꜁ㄕㄣ
408	親	臻開三平眞清	tshin	tsʰin	ㄘㄧㄣ	ㄘㄧㄣ
409	礥	臻開三平眞云	hin	jin˩	꜁ㄧㄣ	꜁ㄧㄣ
410	申	臻開三平眞書	syin	ʃin	ㄕㄧㄣ	ㄕㄣ
411	賔	臻開三平眞幫A	pjin	pin	ㄅㄧㄣ	ㄅㄧㄣ
412	㷠	臻開三平眞來	lin	lin˩	꜁ㄌㄧㄣ	꜁ㄌㄧㄣ
413	𥎊	臻開三平眞羣B	gin	kʱin˩	꜁ㄑㄧㄣ	꜁ㄑㄧㄣ
414	珍	臻開三平眞知	trin	tʃin	ㄓㄧㄣ	ㄓㄣ
415	陳	臻開三平眞澄	drin	tʃʱin˩	꜁ㄔㄧㄣ	꜁ㄔㄣ
416	津	臻開三平眞精	tsin	tsin	ㄗㄧㄣ	ㄗㄧㄣ
417	瞋	臻開三平眞昌	tsyhin	tʃʰin	ㄔㄧㄣ	ㄔㄣ
418	秦	臻開三平眞從	dzin	tsʱin˩	꜁ㄘㄧㄣ	꜁ㄘㄧㄣ
419	寅	臻開三平眞以	yin	jin˩	꜁ㄧㄣ	꜁ㄧㄣ
420	紉	臻開三平眞孃	nrin	nin˩	꜁ㄋㄧㄣ	꜁ㄋㄧㄣ
421	繽	臻開三平眞滂A	phjin	pʰin	ㄆㄧㄣ	ㄆㄧㄣ
422	頻	臻開三平眞並A	bjin	pʱin˩	꜁ㄆㄧㄣ	꜁ㄆㄧㄣ
423	銀	臻開三平眞疑B	ngin	(ŋ)in˩	꜁(ㄫ)ㄧㄣ	꜁(ㄫ)ㄧㄣ
424	巾	臻開三平眞見B	kin	kin	ㄐㄧㄣ	ㄐㄧㄣ
425	麏	臻合三平眞見B	kwin	kyun	ㄐㄩㄣ	ㄐㄩㄣ
426	筠	臻合三平眞云	hwin	jyun˩	꜁ㄩㄣ	꜁ㄩㄣ
427	囷	臻合三平眞溪B	khwin	kʰyun	ㄑㄩㄣ	ㄑㄩㄣ
428	珉	臻開三平眞明B	min	min˩	꜁ㄇㄧㄣ	꜁ㄇㄧㄣ
429	貧	臻開三平眞並B	bin	pʱin˩	꜁ㄆㄧㄣ	꜁ㄆㄧㄣ
430	𪔗	臻開三平眞影B	’in	ʔin	ㄧㄣ	ㄧㄣ
431	贇	臻合三平眞影B	’win	ʔyun	ㄩㄣ	ㄩㄣ
432	彬	臻開三平眞幫B	pin	pin	ㄅㄧㄣ	ㄅㄧㄣ
433	民	臻開三平眞明A	mjin	min˩	꜁ㄇㄧㄣ	꜁ㄇㄧㄣ
434	諄	臻合三平諄章	tsywin	tʃyun	ㄓㄩㄣ	ㄓㄨㄣ
435	椿	臻合三平諄徹	trhwin	tʃʰyun	ㄔㄩㄣ	ㄔㄨㄣ
436	䣩	臻合三平諄澄	drwin	tʃʱyun˩	꜁ㄔㄩㄣ	꜁ㄔㄨㄣ
437	荀	臻合三平諄心	swin	syun	ㄙㄩㄣ	ㄙㄩㄣ
438	純	臻合三平諄常	dzywin	ʃʱyun˩	꜁ㄕㄩㄣ	꜁ㄔㄨㄣ
439	犉	臻合三平諄日	nywin	ʒyun˩	꜁ㄖㄩㄣ	꜁ㄖㄨㄣ
440	脣	臻合三平諄船	zywin	ʃʱyun˩	꜁ㄕㄩㄣ	꜁ㄔㄨㄣ
441	淪	臻合三平諄來	lwin	lyun˩	꜁ㄌㄩㄣ	꜁ㄌㄨㄣ
442	屯	臻合三平諄知	trwin	tʃyun	ㄓㄩㄣ	ㄓㄨㄣ
443	逡	臻合三平諄清	tshwin	tsʰyun	ㄘㄩㄣ	ㄘㄩㄣ
444	遵	臻合三平諄精	tswin	tsyun	ㄗㄩㄣ	ㄗㄩㄣ
445	春	臻合三平諄昌	tsyhwin	tʃʰyun	ㄔㄩㄣ	ㄔㄨㄣ
446	鷷	臻合三平諄從	dzwin	tsʱyun˩	꜁ㄘㄩㄣ	꜁ㄘㄩㄣ
447	勻	臻合三平諄以	ywin	jyun˩	꜁ㄩㄣ	꜁ㄩㄣ
448	旬	臻合三平諄邪	zwin	sʱyun˩	꜁ㄙㄩㄣ	꜁ㄙㄩㄣ
449	均	臻合三平諄見	kjwin	kyun	ㄐㄩㄣ	ㄐㄩㄣ
450	𧼒	臻開三平眞羣A	gjin	kʱin˩	꜁ㄑㄧㄣ	꜁ㄑㄧㄣ
451	砏	臻開三平眞滂B	phin	pʰin	ㄆㄧㄣ	ㄆㄧㄣ
452	臻	臻開三平臻莊	tsrin	ʈʂən	ㄓㄣ	ㄓㄣ
453	莘	臻開三平臻生	srin	ʂən	ㄕㄣ	ㄕㄣ
454	𦿒	臻開三平臻崇	dzrin	ʈʂʱən˩	꜁ㄔㄣ	꜁ㄔㄣ
455	文	臻合三平文明	mjun	vun˩	꜁ㄪㄨㄣ	꜁ㄪㄣ
456	雲	臻合三平文云	hjun	jyun˩	꜁ㄩㄣ	꜁ㄩㄣ
457	煴	臻合三平文影	’jun	ʔyun	ㄩㄣ	ㄩㄣ
458	汾	臻合三平文並	bjun	fʱun˩	꜁ㄈㄨㄣ	꜁ㄈㄣ
459	分	臻合三平文幫	pjun	fun	ㄈㄨㄣ	ㄈㄣ
460	羣	臻合三平文羣	gjun	kʱyun˩	꜁ㄑㄩㄣ	꜁ㄑㄩㄣ
461	薰	臻合三平文曉	xjun	hyun	ㄒㄩㄣ	ㄒㄩㄣ
462	君	臻合三平文見	kjun	kyun	ㄐㄩㄣ	ㄐㄩㄣ
463	芬	臻合三平文滂	phjun	fun	ㄈㄨㄣ	ㄈㄣ
464	欣	臻開三平欣曉	xj+n	hin	ㄒㄧㄣ	ㄒㄧㄣ
465	殷	臻開三平欣影	’j+n	ʔin	ㄧㄣ	ㄧㄣ
466	勤	臻開三平欣羣	gj+n	kʱin˩	꜁ㄑㄧㄣ	꜁ㄑㄧㄣ
467	斤	臻開三平欣見	kj+n	kin	ㄐㄧㄣ	ㄐㄧㄣ
468	䖐	臻開三平欣疑	ngj+n	(ŋ)in˩	꜁(ㄫ)ㄧㄣ	꜁(ㄫ)ㄧㄣ
469	元	臻合三平元疑	ngjwon	(ŋ)yuɛn˩	꜁(ㄫ)ㄩㄢ	꜁(ㄫ)ㄩㄢ
470	袁	臻合三平元云	hjwon	jyuɛn˩	꜁ㄩㄢ	꜁ㄩㄢ
471	煩	臻合三平元並	bjon	fʱan˩	꜁ㄈㄢ	꜁ㄈㄢ
472	飜	臻合三平元滂	phjon	fan	ㄈㄢ	ㄈㄢ
473	暄	臻合三平元曉	xjwon	hyuɛn	ㄒㄩㄢ	ㄒㄩㄢ
474	鴛	臻合三平元影	’jwon	ʔyuɛn	ㄩㄢ	ㄩㄢ
475	言	臻開三平元疑	ngjon	ŋiɛn˩今jiɛn˩	꜁ㄧㄝㄣ	꜁ㄧㄢ
476	攑	臻開三平元溪	khjon	kʰiɛn	ㄑㄧㄝㄣ	ㄑㄧㄢ
477	軒	臻開三平元曉	xjon	hiɛn	ㄒㄧㄝㄣ	ㄒㄧㄢ
478	𢳚	臻開三平元見	kjon	kiɛn	ㄐㄧㄝㄣ	ㄐㄧㄢ
479	蔫	臻開三平元影	’jon	ʔiɛn	ㄧㄝㄣ	ㄧㄢ
480	蕃	臻合三平元幫	pjon	fan	ㄈㄢ	ㄈㄢ
481	𥴤	臻開三平元羣	gjon	kʱiɛn˩	꜁ㄑㄧㄝㄣ	꜁ㄑㄧㄢ
482	樠	臻合三平元明	mjon	van˩	꜁ㄪㄢ	꜁ㄪㄢ
483	䰟	臻合一平魂匣	hwon	ɦun˩	꜁ㄏㄨㄣ	꜁ㄏㄨㄣ
484	昆	臻合一平魂見	kwon	kun	ㄍㄨㄣ	ㄍㄨㄣ
485	𥁕	臻合一平魂影	’won	ʔun	ㄨㄣ	ㄨㄣ
486	門	臻合一平魂明	mwon	mun˩	꜁ㄇㄨㄣ	꜁ㄇㄣ
487	孫	臻合一平魂心	swon	sun	ㄙㄨㄣ	ㄙㄨㄣ
488	尊	臻合一平魂精	tswon	tsun	ㄗㄨㄣ	ㄗㄨㄣ
489	存	臻合一平魂從	dzwon	tsʱun˩	꜁ㄘㄨㄣ	꜁ㄘㄨㄣ
490	敦	臻合一平魂端	twon	tun	ㄉㄨㄣ	ㄉㄨㄣ
491	暾	臻合一平魂透	thwon	tʰun	ㄊㄨㄣ	ㄊㄨㄣ
492	屯	臻合一平魂定	dwon	tʱun˩	꜁ㄊㄨㄣ	꜁ㄊㄨㄣ
493	村	臻合一平魂清	tshwon	tsʰun	ㄘㄨㄣ	ㄘㄨㄣ
494	㑮	臻合一平魂疑	ngwon	ŋun˩	꜁ㄫㄨㄣ	꜁ㄨㄣ
495	盆	臻合一平魂並	bwon	pʱun˩	꜁ㄆㄨㄣ	꜁ㄆㄣ
496	奔	臻合一平魂幫	pwon	pun	ㄅㄨㄣ	ㄅㄣ
497	論	臻合一平魂來	lwon	lun˩	꜁ㄌㄨㄣ	꜁ㄌㄨㄣ
498	坤	臻合一平魂溪	khwon	kʰun	ㄎㄨㄣ	ㄎㄨㄣ
499	昏	臻合一平魂曉	xwon	hun	ㄏㄨㄣ	ㄏㄨㄣ
500	濆	臻合一平魂滂	phwon	pʰun	ㄆㄨㄣ	ㄆㄣ
501	黁	臻合一平魂泥	nwon	nun˩	꜁ㄋㄨㄣ	꜁ㄋㄨㄣ
502	痕	臻開一平痕匣	hon	ɦən˩	꜁ㄏㄣ	꜁ㄏㄣ
503	根	臻開一平痕見	kon	kən	ㄍㄣ	ㄍㄣ
504	恩	臻開一平痕影	’on	ʔən	ㄣ	ㄣ
505	吞	臻開一平痕透	thon	tʰən	ㄊㄣ	ㄊㄣ
506	垠	臻開一平痕疑	ngon	ŋən˩	꜁ㄫㄣ	꜁ㄫㄣ
507	寒	山開一平寒匣	han	ɦɑn˩	꜁ㄏㄢ	꜁ㄏㄢ
508	豻	山開一平寒疑	ngan	ŋɑn˩	꜁ㄫㄢ	꜁ㄫㄢ
509	單	山開一平寒端	tan	tan	ㄉㄢ	ㄉㄢ
510	安	山開一平寒影	’an	ʔɑn	ㄢ	ㄢ
511	難	山開一平寒泥	nan	nan˩	꜁ㄋㄢ	꜁ㄋㄢ
512	餐	山開一平寒清	tshan	tsʰan	ㄘㄢ	ㄘㄢ
513	灘	山開一平寒透	than	tʰan	ㄊㄢ	ㄊㄢ
514	𦙽	山開一平寒心	san	san	ㄙㄢ	ㄙㄢ
515	壇	山開一平寒定	dan	tʱan˩	꜁ㄊㄢ	꜁ㄊㄢ
516	殘	山開一平寒從	dzan	tsʱan˩	꜁ㄘㄢ	꜁ㄘㄢ
517	干	山開一平寒見	kan	kɑn	ㄍㄢ	ㄍㄢ
518	蘭	山開一平寒來	lan	lan˩	꜁ㄌㄢ	꜁ㄌㄢ
519	看	山開一平寒溪	khan	kʰɑn	ㄎㄢ	ㄎㄢ
520	頇	山開一平寒曉	xan	hɑn	ㄏㄢ	ㄏㄢ
521	濡	山合一平桓泥	nwan	nwɔn˩	꜁ㄋㄨ干	꜁ㄋㄨㄢ
522	桓	山合一平桓匣	hwan	ɦwɔn˩	꜁ㄏㄨ干	꜁ㄏㄨㄢ
523	岏	山合一平桓疑	ngwan	ŋwɔn˩	꜁ㄫㄨ干	꜁ㄨㄢ
524	端	山合一平桓端	twan	twɔn	ㄉㄨ干	ㄉㄨㄢ
525	剜	山合一平桓影	’wan	ʔwɔn	ㄨ干	ㄨㄢ
526	湍	山合一平桓透	thwan	tʰwɔn	ㄊㄨ干	ㄊㄨㄢ
527	酸	山合一平桓心	swan	swɔn	ㄙㄨ干	ㄙㄨㄢ
528	團	山合一平桓定	dwan	tʱwɔn˩	꜁ㄊㄨ干	꜁ㄊㄨㄢ
529	櫕	山合一平桓從	dzwan	tsʱwɔn˩	꜁ㄘㄨ干	꜁ㄘㄨㄢ
530	官	山合一平桓見	kwan	kwɔn	ㄍㄨ干	ㄍㄨㄢ
531	鑾	山合一平桓來	lwan	lwɔn˩	꜁ㄌㄨ干	꜁ㄌㄨㄢ
532	歡	山合一平桓曉	xwan	hwɔn	ㄏㄨ干	ㄏㄨㄢ
533	寬	山合一平桓溪	khwan	kʰwɔn	ㄎㄨ干	ㄎㄨㄢ
534	鑚	山合一平桓精	tswan	tswɔn	ㄗㄨ干	ㄗㄨㄢ
535	槃	山合一平桓並	ban	pʱwɔn˩	꜁ㄆㄨ干	꜁ㄆㄢ
536	瞞	山合一平桓明	man	mwɔn˩	꜁ㄇㄨ干	꜁ㄇㄢ
537	潘	山合一平桓滂	phan	pʰwɔn	ㄆㄨ干	ㄆㄢ
538	𤳖	山合一平桓幫	pan	pwɔn	ㄅㄨ干	ㄅㄢ
539	刪	山開二平刪生	sraen	ʂan	ㄕㄢ	ㄕㄢ
540	關	山合二平刪見	kwaen	kwan	ㄍㄨㄢ	ㄍㄨㄢ
541	彎	山合二平刪影	’waen	ʔwan	ㄨㄢ	ㄨㄢ
542	𣠯	山合二平刪生	srwaen	ʂwan	ㄕㄨㄢ	ㄕㄨㄢ
543	還	山合二平刪匣	hwaen	ɦwan˩	꜁ㄏㄨㄢ	꜁ㄏㄨㄢ
544	班	山開二平刪幫	paen	pan	ㄅㄢ	ㄅㄢ
545	蠻	山開二平刪明	maen	man˩	꜁ㄇㄢ	꜁ㄇㄢ
546	顏	山開二平刪疑	ngaen	(ŋ)ian˩	꜁(ㄫ)ㄧㄚㄣ	꜁ㄧㄢ
547	姦	山開二平刪見	kaen	kian	ㄐㄚㄣ	ㄐㄢ
548	攀	山開二平刪滂	phaen	pʰan	ㄆㄢ	ㄆㄢ
549	奻	山合二平刪孃	nrwaen	nwan˩	꜁ㄋㄨㄢ	꜁ㄋㄨㄢ
550	𤸷	山合二平刪疑	ngwaen	ŋwan˩	꜁ㄫㄨㄢ	꜁ㄨㄢ
551	馯	山開二平刪溪	khaen	kʰian	ㄑㄚㄣ	ㄑㄢ
552	豻	山開二平刪溪	khaen	kʰian	ㄑㄚㄣ	ㄑㄢ
553	跧	山合二平刪莊	tsrwaen	ʈʂwan	ㄓㄨㄢ	ㄓㄨㄢ
554	山	山開二平山生	srean	ʂan	ㄕㄢ	ㄕㄢ
555	鰥	山合二平山見	kwean	kwan	ㄍㄨㄢ	ㄍㄨㄢ
556	閒	山開二平山見	kean	kian	ㄐㄚㄣ	ㄐㄢ
557	閑	山開二平山匣	hean	ɦian˩	꜁ㄒㄚㄣ	꜁ㄒㄢ
558	慳	山開二平山溪	khean	kʰian	ㄑㄚㄣ	ㄑㄢ
559	虥	山開二平山崇	dzrean	ʈʂʱan˩	꜁ㄔㄢ	꜁ㄔㄢ
560	羴	山開二平山曉	xean	hian	ㄒㄚㄣ	ㄒㄢ
561	詽	山開二平山疑	ngean	(ŋ)ian˩	꜁(ㄫ)ㄧㄚㄣ	꜁ㄧㄢ
562	黰	山開二平山影	’ean	ʔian	ㄧㄚㄣ	ㄧㄢ
563	斒	山開二平山幫	pean	pan	ㄅㄢ	ㄅㄢ
564	斕	山開二平山來	lean	lan˩	꜁ㄌㄢ	꜁ㄌㄢ
565	嘫	山開二平山孃	nrean	nan˩	꜁ㄋㄢ	꜁ㄋㄢ
566	㺗	山開二平山昌	tsyhean	tʃʰan	ㄔㄢ	ㄔㄢ
