# version: 20210217						
# author: hhliow (github.com/hhliow)						
# license: cc by-nc-sa 4.0						
index	廣韻小韻	middle_chinese	Baxter_transcription	中州音(IPA)	中州音	推導國音
265	慺	遇合三平虞來	lju	ly˩	꜁ㄌㄩ	꜁ㄌㄩ
266	扶	遇合三平虞並	bju	fʱu˩	꜁ㄈㄨ	꜁ㄈㄨ
267	䅳	遇合三平虞崇	dzrju	ʈʂʱu˩	꜁ㄔㄨ	꜁ㄔㄨ
268	㑳	遇合三平虞莊	tsrju	ʈʂu	ㄓㄨ	ㄓㄨ
269	敷	遇合三平虞滂	phju	fu	ㄈㄨ	ㄈㄨ
270	諏	遇合三平虞精	tsju	tsy	ㄗㄩ	ㄗㄩ
271	跗	遇合三平虞幫	pju	fu	ㄈㄨ	ㄈㄨ
272	紆	遇合三平虞影	’ju	ʔy	ㄩ	ㄩ
273	輸	遇合三平虞書	syu	ʃy	ㄕㄩ	ㄕㄨ
274	樞	遇合三平虞昌	tsyhu	tʃʰy	ㄔㄩ	ㄔㄨ
275	廚	遇合三平虞澄	drju	tʃʱy˩	꜁ㄔㄩ	꜁ㄔㄨ
276	拘	遇合三平虞見	kju	ky	ㄐㄩ	ㄐㄩ
277	毹	遇合三平虞生	srju	ʂu	ㄕㄨ	ㄕㄨ
278	模	遇開一平模明	mu	mu˩	꜁ㄇㄨ	꜁ㄇㄨ
